#Datasets	MAS_A	MAS_B	UNS_A	UNS_B	MAS_av	UNS_Av
Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type	0	2	0	0	1	0
Iron-sulfur cluster assembly scaffold protein IscU	0	1	0	0	0.5	0
Iron-sulfur cluster assembly scaffold protein NifU	0	1	0	0	0.5	0
NifZ protein	1	0	0	0	0.5	0
probable iron binding protein from the HesB_IscA_SufA family in Nif operon	1	0	0	0	0.5	0
Flavodoxin 1	0	1	0	0	0.5	0
Flavodoxin 2	2	2	0	0	2	0
Folate biosynthesis protein PTPS-III, catalyzes a reaction that bypasses dihydroneopterin aldolase (FolB)	1	0	0	0	0.5	0
Non functional Dihydropteroate synthase 2	1	1	0	0	1	0
Cytochrome cd1 nitrite reductase (EC:1.7.2.1)	1	1	0	0	1	0
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	0	1	0	0	0.5	0
Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	1	1	0	0	1	0
O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	2	1	0	0	1.5	0
Menaquinone via futalosine step 1	0	1	0	0	0.5	0
DNA-binding domain of ModE	1	0	0	0	0.5	0
Molybdate-binding domain of ModE	1	2	0	0	1.5	0
Molybdopterin-guanine dinucleotide biosynthesis protein MobB	1	1	0	0	1	0
Mycofactocin system heme/flavin dehydrogenase	1	0	0	0	0.5	0
Indoleamine 2,3-dioxygenase (EC 1.13.11.52)	1	2	0	0	1.5	0
Nicotinamide phosphoribosyltransferase (EC 2.4.2.12)	2	4	0	0	3	0
Ribosylnicotinamide kinase (EC 2.7.1.22)	1	2	0	0	1.5	0
Hypothetical Nudix-like regulator	1	0	0	0	0.5	0
Protein YigP (COG3165) clustered with ubiquinone biosynthetic genes	1	1	0	0	1	0
3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	1	2	0	0	1.5	0
Thiamine biosynthesis protein thiI	0	1	0	0	0.5	0
Thiaminase II (EC 3.5.99.2) involved in salvage of thiamin pyrimidine moiety, TenA subgroup with Cys in active site	0	1	0	0	0.5	0
gamma-tocopherol methyltransferase (EC 2.1.1.95)	1	0	0	0	0.5	0
Putative hydrolase in cluster with formaldehyde/S-nitrosomycothiol reductase MscR	0	1	0	0	0.5	0
Transcriptional regulator, FUR family	1	0	0	0	0.5	0
Twin-arginine translocation protein TatA	1	1	0	0	1	0
CRISPR-associated helicase Cas3	1	0	0	0	0.5	0
CRISPR-associated protein, Csd1 family	1	0	0	0	0.5	0
CRISPR-associated protein, Csd2/Csh2 family	1	0	0	0	0.5	0
CRISPR-associated RecB family exonuclease Cas4	0	1	0	0	0.5	0
Protein involved in catabolism of external DNA	1	0	0	0	0.5	0
DNA polymerase II (EC 2.7.7.7)	0	1	0	0	0.5	0
Alkylated DNA repair protein AlkB	1	2	0	0	1.5	0
Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)	0	1	0	0	0.5	0
Recombinational DNA repair protein RecT (prophage associated)	4	0	0	0	2	0
Very-short-patch mismatch repair endonuclease (G-T specific)	0	1	0	0	0.5	0
DNA topoisomerase III, Burkholderia type (EC 5.99.1.2)	0	1	0	0	0.5	0
DNA topoisomerase II (EC 5.99.1.3)	1	0	0	0	0.5	0
Primosomal protein I	1	2	0	0	1.5	0
Late competence protein ComEC, DNA transport	0	1	0	0	0.5	0
Late competence protein ComEB	0	1	0	0	0.5	0
Plasmid replication protein RepA	0	1	0	0	0.5	0
Putative deoxyribonuclease similar to YcfH, type 2	0	1	0	0	0.5	0
Polyketide beta-ketoacyl synthase WhiE-KS	0	1	0	0	0.5	0
Polyketide beta-ketoacyl synthase WhiE-KS paralog	1	1	0	0	1	0
Polyketide hydroxylase WhiE VIII	0	1	0	0	0.5	0
Sporulation initiation phosphotransferase (Spo0F)	0	1	0	0	0.5	0
Acyl-CoA thioesterase II (EC 3.1.2.-)	3	2	0	0	2.5	0
Phosphomevalonate kinase (EC 2.7.4.2)	1	0	0	0	0.5	0
S-adenosylmethionine:diacylglycerol 3-amino-3-carboxypropyl transferase, BtaA protein	0	1	0	0	0.5	0
S-adenosylmethionine:diacylgycerolhomoserine-N-methyltransferase, BtaB protein	0	1	0	0	0.5	0
Phosphatidylglycerophosphatase A (EC 3.1.3.27)	2	2	0	0	2	0
Hydroxyneurosporene synthase	0	1	0	0	0.5	0
Lycopene beta cyclase (EC 1.14.-.-)	1	1	0	0	1	0
Phytoene desaturase, pro-zeta-carotene producing (EC 1.-.-.-)	1	0	0	0	0.5	0
Zeaxanthin glucosyl transferase	0	1	0	0	0.5	0
Dihydroxyacetone kinase family protein	0	1	0	0	0.5	0
FIG002571: 4-hydroxybenzoyl-CoA thioesterase domain protein	1	1	0	0	1	0
FIG022199: FAD-binding protein	1	1	0	0	1	0
FIG138576: 3-oxoacyl-[ACP] synthase (EC 2.3.1.41)	1	1	0	0	1	0
D-beta-hydroxybutyrate permease	1	1	0	0	1	0
Phospholipase A1 (EC 3.1.1.32) (EC 3.1.1.4)	1	1	0	0	1	0
ABC-type Fe3+-siderophore transport system, permease 2 component	1	0	0	0	0.5	0
ABC-type hemin transport system, ATPase component	0	2	0	0	1	0
Hemin transport protein HmuS	1	0	0	0	0.5	0
Siderophore biosynthesis L-2,4-diaminobutyrate decarboxylase	1	0	0	0	0.5	0
TonB-dependent hemin , ferrichrome receptor	1	1	0	0	1	0
Ferrous iron transport periplasmic protein EfeO, contains peptidase-M75 domain and (frequently) cupredoxin-like domain	0	1	0	0	0.5	0
Ferrous iron transport peroxidase EfeB	0	1	0	0	0.5	0
Heme ABC transporter, permease protein HmuU	0	1	0	0	0.5	0
Iron-dependent repressor IdeR/DtxR	1	1	0	0	1	0
heme uptake regulator	1	1	0	0	1	0
heme uptake transmembrane sensor	0	1	0	0	0.5	0
Hemin transport protein	1	0	0	0	0.5	0
Hemin uptake protein	1	0	0	0	0.5	0
Iron siderophore receptor protein	1	0	0	0	0.5	0
Non-ribosomal peptide synthetase modules, pyoverdine	1	0	0	0	0.5	0
Sigma-70 factor FpvI (ECF subfamily), controling pyoverdin biosynthesis	1	0	0	0	0.5	0
Iron-responsive regulator Irr	1	0	0	0	0.5	0
Iron-uptake factor PiuC	0	1	0	0	0.5	0
Vibrioferrin amide bond forming protein PvsD	0	1	0	0	0.5	0
Vibrioferrin decarboxylase protein PvsE	1	1	0	0	1	0
TRAP transporter solute receptor, unknown substrate 1	1	0	0	0	0.5	0
TRAP transporter, 4TM/12TM fusion protein, unknown substrate 1	0	1	0	0	0.5	0
MSHA biogenesis protein MshQ	0	1	0	0	0.5	0
Predicted secretion system X protein GspG-like 2	1	0	0	0	0.5	0
ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB11)	1	2	0	0	1.5	0
Type IV secretion system protein VirD4	4	2	0	0	3	0
Riboflavin transporter RibN	1	0	0	0	0.5	0
Na(+) H(+) antiporter subunit A (TC 2.A.63.1.2)	0	1	0	0	0.5	0
Biopolymer transport ExbD protein	0	1	0	0	0.5	0
iron-chelator utilization protein	1	1	0	0	1	0
Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid	1	2	0	0	1.5	0
Predicted b-glucoside-specific TonB-dependent outer membrane receptor	1	0	0	0	0.5	0
Putative OMR family iron-siderophore receptor precursor	1	0	0	0	0.5	0
Putative TolA protein	0	1	0	0	0.5	0
Tol biopolymer transport system, TolR protein	2	2	0	0	2	0
Manganese ABC transporter, periplasmic-binding protein SitA	0	1	0	0	0.5	0
Manganese transport protein MntH	0	1	0	0	0.5	0
Zinc ABC transporter, ATP-binding protein ZnuC	1	0	0	0	0.5	0
Zinc ABC transporter, inner membrane permease protein ZnuB	0	1	0	0	0.5	0
Zinc ABC transporter, periplasmic-binding protein ZnuA	1	1	0	0	1	0
Shufflon-specific DNA recombinase	1	0	0	0	0.5	0
type 4 fimbrial biogenesis protein FimU	0	1	0	0	0.5	0
Type IV fimbriae expression regulatory protein PilR	1	2	0	0	1.5	0
Type IV pilus biogenesis protein PilQ	2	1	0	0	1.5	0
ATP-dependent helicase, DEAD/DEAH box family, associated with Flp pilus assembly	4	3	0	0	3.5	0
Benzoate 1,2-dioxygenase beta subunit (EC 1.14.12.10)	1	0	0	0	0.5	0
Benzoate 1,2-dioxygenase alpha subunit (EC 1.14.12.10)	2	1	0	0	1.5	0
benzoate MFS transporter BenK	0	1	0	0	0.5	0
Benzoylformate decarboxylase (EC 4.1.1.7)	1	0	0	0	0.5	0
4-hydroxybenzoyl-CoA reductase, beta subunit (EC 1.3.99.20)	1	1	0	0	1	0
Benzoate transport, ATP binding protein	0	1	0	0	0.5	0
Benzoate transport, ATPase component	0	1	0	0	0.5	0
Benzoate transport, inner-membrane translocator precursor	1	1	0	0	1	0
Benzoyl-CoA oxygenase component A	1	0	0	0	0.5	0
P-hydroxylaminobenzoate lyase	1	1	0	0	1	0
mandelate racemase/muconate lactonizing enzyme family protein	1	1	0	0	1	0
Muconolactone isomerase (EC 5.3.3.4),putative	0	1	0	0	0.5	0
2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases	0	1	0	0	0.5	0
4-oxalocrotonate tautomerase (EC 5.3.2.-)	1	0	0	0	0.5	0
Putative benzaldehyde dehydrogenase oxidoreductase protein (EC 1.2.1.28)	1	0	0	0	0.5	0
4-cresol dehydrogenase [hydroxylating] flavoprotein subunit (EC 1.17.99.1)	1	1	0	0	1	0
Gallate dioxygenase (EC 1.13.11.57)	1	1	0	0	1	0
Gallic acid utilization transcriptional regulator, LysR family	2	0	0	0	1	0
putative 4-hydroxybenzoyl-CoA thioesterase	1	0	0	0	0.5	0
Putative n-hydroxybenzoate hydroxylase	1	1	0	0	1	0
Phenylacetate-CoA oxygenase, PaaI subunit	1	0	0	0	0.5	0
Phenylacetic acid degradation protein PaaN2, ring-opening aldehyde dehydrogenase (EC 1.2.1.3)	1	0	0	0	0.5	0
Chlorogenate esterase	1	0	0	0	0.5	0
Phenylpropionate dioxygenase and related ring-hydroxylating dioxygenases, large terminal subunit	2	1	0	0	1.5	0
Probable VANILLIN dehydrogenase oxidoreductase protein (EC 1.-.-.-)	1	0	0	0	0.5	0
dicarboxylic acid transporter PcaT	1	0	0	0	0.5	0
Cyanate hydratase (EC 4.2.1.104)	1	0	0	0	0.5	0
L-cysteine:1D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase MshC	1	0	0	0	0.5	0
Putative snRNP Sm-like protein	1	0	0	0	0.5	0
UPF0125 protein yfjF	1	0	0	0	0.5	0
Glutamate decarboxylase (EC 4.1.1.15)	1	1	0	0	1	0
5'-nucleotidase YjjG (EC 3.1.3.5)	1	1	0	0	1	0
Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	1	1	0	0	1	0
Dimeric dUTPase (EC 3.6.1.23)	1	0	0	0	0.5	0
FIG002003: Protein YdjA	1	1	0	0	1	0
FIG016027: protein of unknown function YeaO	1	1	0	0	1	0
Free methionine-(R)-sulfoxide reductase, contains GAF domain	1	0	0	0	0.5	0
Rhodanese domain protein, Enterobacterial subgroup, YceA homolog	1	0	0	0	0.5	0
FIG019327: membrane domain	0	1	0	0	0.5	0
FIG049476: HIT family protein	1	0	0	0	0.5	0
Lauroyl/myristoyl acyltransferase involved in lipid A biosynthesis (Lauroyl/myristoyl acyltransferase)	0	1	0	0	0.5	0
Aerotaxis sensor receptor protein	1	0	0	0	0.5	0
Chemotaxis protein CheD	2	1	0	0	1.5	0
Chemotaxis response - phosphatase CheZ	2	2	0	0	2	0
twitching motility protein PilH	0	1	0	0	0.5	0
type IV pili signal transduction protein PilI	1	0	0	0	0.5	0
Flagellar basal-body rod modification protein FlgD	3	3	0	0	3	0
Flagellar L-ring protein FlgH	2	1	0	0	1.5	0
Flagellar basal-body P-ring formation protein FlgA	1	1	0	0	1	0
Flagellar biosynthesis protein FliL	1	1	0	0	1	0
Flagellar biosynthesis protein FliO	1	0	0	0	0.5	0
Flagellar biosynthesis protein FliQ	1	1	0	0	1	0
Flagellar protein FliJ	1	1	0	0	1	0
Flagellin protein FlaB	1	0	0	0	0.5	0
Flagellin protein FlaG	1	0	0	0	0.5	0
Negative regulator of flagellin synthesis FlgM	1	0	0	0	0.5	0
ammonium/methylammonium permease	0	1	0	0	0.5	0
Cyanate ABC transporter, ATP-binding protein	0	1	0	0	0.5	0
Nitric oxide reductase activation protein NorE	1	0	0	0	0.5	0
Nitric oxide reductase activation protein NorQ	1	1	0	0	1	0
Nitrous oxide reductase maturation protein NosF (ATPase)	0	1	0	0	0.5	0
Nitrous oxide reductase maturation protein NosR	3	2	0	0	2.5	0
Nitrite reductase associated c-type cytochorome NirN	0	1	0	0	0.5	0
Ferredoxin-type protein NapF (periplasmic nitrate reductase)	1	0	0	0	0.5	0
Ferredoxin-type protein NapG (periplasmic nitrate reductase)	1	0	0	0	0.5	0
Nitrate ABC transporter, permease protein	0	1	0	0	0.5	0
Nitrate reductase cytochrome c550-type subunit	1	1	0	0	1	0
Nitrite transporter from formate/nitrite family	0	2	0	0	1	0
Periplasmic nitrate reductase component NapE	1	0	0	0	0.5	0
Polyferredoxin NapH (periplasmic nitrate reductase)	1	0	0	0	0.5	0
Response regulator NasT	1	2	0	0	1.5	0
NifX-associated protein	1	0	0	0	0.5	0
Nitrogenase (molybdenum-iron) alpha chain (EC 1.18.6.1)	1	2	0	0	1.5	0
Nitrogenase (molybdenum-iron) beta chain (EC 1.18.6.1)	1	1	0	0	1	0
Nitrogenase (molybdenum-iron) reductase and maturation protein NifH	1	0	0	0	0.5	0
Nitrogenase (molybdenum-iron)-specific transcriptional regulator NifA	1	1	0	0	1	0
Nitrogenase FeMo-cofactor scaffold and assembly protein NifE	2	0	0	0	1	0
Nitrogenase FeMo-cofactor scaffold and assembly protein NifN	1	1	0	0	1	0
Nitrogenase FeMo-cofactor synthesis FeS core scaffold and assembly protein NifB	0	1	0	0	0.5	0
Nitrogenase FeMo-cofactor synthesis molybdenum delivery protein NifQ	1	0	0	0	0.5	0
Hcp transcriptional regulator HcpR (Crp/Fnr family)	0	1	0	0	0.5	0
Hydroxylamine reductase (EC 1.7.-.-)	1	0	0	0	0.5	0
hypothetical protein Bcep3774, commonly clustered with carotenoid biosynthesis	0	1	0	0	0.5	0
Pseudouridine 5'-phosphate glycosidase	0	1	0	0	0.5	0
Possible hypoxanthine oxidase XdhD (EC 1.-.-.-)	0	1	0	0	0.5	0
Cytosine/purine/uracil/thiamine/allantoin permease family protein	3	1	0	0	2	0
Deoxycytidine triphosphate deaminase (EC 3.5.4.30) (dUMP-forming)	1	0	0	0	0.5	0
Pyridine nucleotide-disulphide oxidoreductase associated with reductive pyrimidine catabolism	0	1	0	0	0.5	0
L-arabinokinase (EC 2.7.1.46)	0	1	0	0	0.5	0
Phage DNA binding ATPase	1	0	0	0	0.5	0
Phage endolysin	0	1	0	0	0.5	0
Phage integrase	0	1	0	0	0.5	0
Conjugative transposon protein TraE	0	1	0	0	0.5	0
Conjugative transposon protein TraF	1	0	0	0	0.5	0
Conjugative transposon protein TraG	1	1	0	0	1	0
Conjugative transposon protein TraI	0	1	0	0	0.5	0
Conjugative transposon protein TraK	0	1	0	0	0.5	0
Conjugative transposon protein TraM	0	1	0	0	0.5	0
Conjugative transposon protein TraN	0	1	0	0	0.5	0
Putative mobilization protein BF0133	1	2	0	0	1.5	0
Integron integrase	1	0	0	0	0.5	0
Phage portal protein	5	3	0	0	4	0
Phage tail assembly protein	1	1	0	0	1	0
Phage tape measure	2	2	0	0	2	0
Metal-dependent hydrolase involved in phosphonate metabolism	1	0	0	0	0.5	0
Transcriptional regulator PhnF	1	1	0	0	1	0
Inorganic pyrophospatase PpaX (EC 3.1.3.18)	0	1	0	0	0.5	0
Low-affinity inorganic phosphate transporter	1	1	0	0	1	0
Phosphatase, Ppx/GppA family	1	0	0	0	0.5	0
response regulator in two-component regulatory system with PhoQ	4	4	0	0	4	0
Chlorosome protein X	0	1	0	0	0.5	0
ElaA protein	0	1	0	0	0.5	0
Potassium-transporting ATPase A chain (EC 3.6.3.12) (TC 3.A.3.7.1)	5	3	0	0	4	0
Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)	1	1	0	0	1	0
Protein of unknown function DUF1446	0	1	0	0	0.5	0
Uncharacterized transporter, similarity to citrate transporter	1	0	0	0	0.5	0
RNA-binding protein Jag	1	0	0	0	0.5	0
Aromatic hydrocarbon utilization transcriptional regulator CatR (LysR family)	1	0	0	0	0.5	0
FAD-binding monooxygenase, PheA/TfdB family, similarity to 2,4-dichlorophenol 6-monooxygenase	1	1	0	0	1	0
Maleylacetate reductase (EC 1.3.1.32)	0	1	0	0	0.5	0
Tyrosine recombinase XerC	1	0	0	0	0.5	0
tRNA (uracil(54)-C5)-methyltransferase (EC 2.1.1.35)	1	0	0	0	0.5	0
Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)	3	1	0	0	2	0
Carboxy-terminal intein-mediated trans-splice	1	0	0	0	0.5	0
4-amino-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) acetyltrasferase	0	1	0	0	0.5	0
Alpha-1,3-N-acetylgalactosamine transferase PglA (EC 2.4.1.-)	1	1	0	0	1	0
Glycosyltransferase PglI (EC 2.4.1.-)	0	1	0	0	0.5	0
Thiol:disulfide interchange protein DsbG precursor	0	1	0	0	0.5	0
Putative stomatin/prohibitin-family membrane protease subunit YbbK	1	1	0	0	1	0
Proteasome subunit alpha (EC 3.4.25.1), bacterial	1	0	0	0	0.5	0
Proteasome subunit beta (EC 3.4.25.1), bacterial	0	1	0	0	0.5	0
Aminopeptidase C (EC 3.4.22.40)	1	0	0	0	0.5	0
Thimet oligopeptidase (EC 3.4.24.15)	1	1	0	0	1	0
ATPase, AFG1 family	1	1	0	0	1	0
Nucleotide excision repair protein, with UvrB/UvrC motif	0	1	0	0	0.5	0
Outer membrane stress sensor protease DegQ, serine protease	1	2	0	0	1.5	0
Quinohemoprotein amine dehydrogenase alpha subunit (EC 1.4.99.-)	0	1	0	0	0.5	0
LSU ribosomal protein L32p	1	1	0	0	1	0
LSU ribosomal protein L33p	1	0	0	0	0.5	0
Ribosomal-protein-L7p-serine acetyltransferase	0	1	0	0	0.5	0
RNA pseudouridylate synthase, group 1	1	1	0	0	1	0
Similar to ribosomal large subunit pseudouridine synthase A	1	0	0	0	0.5	0
SSU ribosomal protein S20e (S10p)	1	0	0	0	0.5	0
Translation elongation factor P-related protein	1	1	0	0	1	0
L-O-lysylphosphatidylglycerol synthase (EC 2.3.2.3)	0	1	0	0	0.5	0
3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)	2	1	0	0	1.5	0
Prophage Clp protease-like protein	1	1	0	0	1	0
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)	2	2	0	0	2	0
Alkanesulfonate utilization operon LysR-family regulator CbI	0	1	0	0	0.5	0
LysR family transcriptional regulator STM3121	1	0	0	0	0.5	0
LysR family transcriptional regulator YnfL	0	2	0	0	1	0
Antiholin-like protein LrgA	1	1	0	0	1	0
Copper-sensing two-component system response regulator CusR	0	1	0	0	0.5	0
Glycine cleavage system transcriptional activator	3	3	0	0	3	0
Two-component system response regulator QseB	2	3	0	0	2.5	0
StbE replicon stabilization toxin	1	0	0	0	0.5	0
Sporulation regulatory protein WhiD	1	1	0	0	1	0
Coenzyme F420-dependent oxidoreductase	0	1	0	0	0.5	0
Heterodisulfide reductase, cytochrome reductase subunit	1	1	0	0	1	0
V-type ATP synthase subunit F (EC 3.6.3.14)	0	1	0	0	0.5	0
Ccs1/ResB-related putative cytochrome C-type biogenesis protein	0	1	0	0	0.5	0
Cytochrome c-type biogenesis protein Ccs1/ResB	0	1	0	0	0.5	0
Thiol:disulfide oxidoreductase TlpA	1	1	0	0	1	0
Type cbb3 cytochrome oxidase biogenesis protein CcoS, involved in heme b insertion	1	0	0	0	0.5	0
Frataxin homolog CyaY, facilitates iron supply for heme A synthesis or Fe-S cluster assembly	1	0	0	0	0.5	0
CO dehydrogenase accessory protein CooC (nickel insertion)	0	1	0	0	0.5	0
Carbon monoxide dehydrogenase large chain (EC 1.2.99.2) parolog without usual motifs	0	1	0	0	0.5	0
Uncharacterized MobA-related protein	0	1	0	0	0.5	0
Energy-conserving hydrogenase (ferredoxin), subunit A	0	1	0	0	0.5	0
Energy-conserving hydrogenase (ferredoxin), subunit B	0	1	0	0	0.5	0
formate dehydrogenase formation protein FdhE	1	1	0	0	1	0
Formate dehydrogenase putative subunit (EC 1.2.1.2)	1	1	0	0	1	0
Hydrogenase-4 component E	1	0	0	0	0.5	0
Coenzyme F420-reducing hydrogenase, beta subunit	0	1	0	0	0.5	0
NAD-reducing hydrogenase subunit HoxF (EC 1.12.1.2)	0	1	0	0	0.5	0
NAD-reducing hydrogenase subunit HoxH (EC 1.12.1.2)	0	1	0	0	0.5	0
NAD-reducing hydrogenase subunit HoxU (EC 1.12.1.2)	1	1	0	0	1	0
Ni,Fe-hydrogenase III large subunit	1	0	0	0	0.5	0
Quinone-reactive Ni/Fe-hydrogenase large chain (EC 1.12.5.1)	0	1	0	0	0.5	0
Signal transduction histidine kinase HoxJ (hydrogenase regulation)	1	1	0	0	1	0
Electron transport complex protein RnfA	1	1	0	0	1	0
Electron transport complex protein RnfB	0	1	0	0	0.5	0
Electron transport complex protein RnfD	1	1	0	0	1	0
Electron transport complex protein RnfE	0	1	0	0	0.5	0
Electron transport complex protein RnfG	1	0	0	0	0.5	0
Na(+)-translocating NADH-quinone reductase subunit B (EC 1.6.5.-)	1	1	0	0	1	0
Na(+)-translocating NADH-quinone reductase subunit E (EC 1.6.5.-)	0	1	0	0	0.5	0
Biotin carboxyl carrier protein of methylmalonyl-CoA decarboxylase	0	1	0	0	0.5	0
Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-)	2	1	0	0	1.5	0
Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	1	0	0	0	0.5	0
Cytochrome O ubiquinol oxidase subunit III (EC 1.10.3.-)	1	1	0	0	1	0
Cytochrome O ubiquinol oxidase subunit IV (EC 1.10.3.-)	1	1	0	0	1	0
Fumarate reductase subunit D	1	0	0	0	0.5	0
Menaquinone-cytochrome c reductase, cytochrome B subunit	1	0	0	0	0.5	0
Succinate dehydrogenase cytochrome b558 subunit	0	1	0	0	0.5	0
Tetrathionate reductase subunit A	1	1	0	0	1	0
NADH dehydrogenase subunit 2	1	2	0	0	1.5	0
putative Fe-S, FMN containing oxidoreductase	0	1	0	0	0.5	0
Cytochrome c553	2	0	0	0	1	0
Cytochrome c553-like	1	1	0	0	1	0
membrane c-type cytochrome cy	1	1	0	0	1	0
probable cytochrome oxidase (cbb3-type)	1	1	0	0	1	0
Hypothetical bd-type Menaquinol oxidase subunit	0	1	0	0	0.5	0
Transport ATP-binding protein CydCD	0	1	0	0	0.5	0
ATP-dependent RNA helicase NGO0650	2	1	0	0	1.5	0
DEAD-box ATP-dependent RNA helicase CshB (EC 3.6.4.13)	1	1	0	0	1	0
DNA-directed RNA polymerase II largest subunit (EC 2.7.7.6)	1	0	0	0	0.5	0
Ribonuclease E inhibitor RraA	1	0	0	0	0.5	0
Predicted transcriptional regulator of sulfate adenylyltransferase, Rrf2 family	1	1	0	0	1	0
TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA	1	1	0	0	1	0
RNA polymerase principal sigma factor HrdC	1	0	0	0	0.5	0
RNA polymerase principal sigma factor HrdD	1	1	0	0	1	0
5-carboxymethyl uridine and 5-carboxymethyl 2-thiouridine methyltransferase	1	0	0	0	0.5	0
archaeal ATPase, fused to C-terminal DUF234 domain	1	1	0	0	1	0
tRNA (adenine57/58-N1)-methyltransferase (EC 2.1.1.36)	1	1	0	0	1	0
RNA:NAD 2'-phosphotransferase	1	1	0	0	1	0
FIG001341: Probable Fe(2+)-trafficking protein YggX	2	0	0	0	1	0
Cyanoglobin	0	1	0	0	0.5	0
Flavohemoprotein (Hemoglobin-like protein) (Flavohemoglobin) (Nitric oxide dioxygenase) (EC 1.14.12.17)	0	2	0	0	1	0
Stringent starvation protein B	1	0	0	0	0.5	0
Glycine betaine ABC transport system, permease protein OpuAB	0	1	0	0	0.5	0
High-affinity choline uptake protein BetT	2	0	0	0	1	0
Diaminobutyrate-pyruvate aminotransferase (EC 2.6.1.46)	1	1	0	0	1	0
Ectoine hydroxylase (EC 1.17.-.-)	2	0	0	0	1	0
Putative regulatory protein associated with the ectoine operon	0	1	0	0	0.5	0
Glutaredoxin 3	1	1	0	0	1	0
Glutaredoxin 3 (Grx2)	0	1	0	0	0.5	0
Glutathione S-transferase, phi (EC 2.5.1.18)	1	0	0	0	0.5	0
Glutathione S-transferase, unnamed subgroup 2 (EC 2.5.1.18)	1	0	0	0	0.5	0
Phytochelatin synthase (EC 2.3.2.15), bacterial type	2	0	0	0	1	0
SAM-dependent methyltransferase 2, in cluster with Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	0	1	0	0	0.5	0
5-methyl-dCTP pyrophosphohydrolase (EC 3.6.1.-)	1	1	0	0	1	0
ADP compounds hydrolase NudE (EC 3.6.1.-)	1	0	0	0	0.5	0
Nudix hydrolase family protein YffH	1	0	0	0	0.5	0
bacteriophytochrome heme oxygenase BphO	1	0	0	0	0.5	0
Organic hydroperoxide resistance transcriptional regulator	2	1	0	0	1.5	0
Paraquat-inducible protein A	1	1	0	0	1	0
Phosphoglycerol transferase I (EC 2.7.8.20)	2	1	0	0	1.5	0
Universal stress protein E	1	0	0	0	0.5	0
Universal stress protein family 3	0	1	0	0	0.5	0
Universal stress protein family 5	2	1	0	0	1.5	0
Various polyols ABC transporter, periplasmic substrate-binding protein	0	1	0	0	0.5	0
Various polyols ABC transporter, permease component 2	1	2	0	0	1.5	0
Alkanesulfonates-binding protein	1	0	0	0	0.5	0
FMN reductase (EC 1.5.1.29)	1	1	0	0	1	0
Dimethylsulfoniopropionate (DSMP) lyase DddQ	1	1	0	0	1	0
DMSP demethylase (DmdA) (EC 2.1.2.10)	1	1	0	0	1	0
SoxH protein, homolog	1	0	0	0	0.5	0
sulfur oxidation protein SoxA	1	0	0	0	0.5	0
ABC-type probable sulfate transporter, periplasmic binding protein	0	2	0	0	1	0
ABC-type probable sulfate transporter, permease protein	0	1	0	0	0.5	0
